Name,Value
Schedule,Mouse PAL Habituation 2 v2
Environment,Chamber1 [1]
Date/Time,28/01/2018 11:12:28
Database,Fmr1_PAL_2018
SessionId,9
Index,6
Version,N/A
MachineName,CI24689-2
SGuid,
Animal ID,341-blue
Application_Version,ABET II Touch 2.20.6316.18149
Max_Number_Trials,0
Max_Schedule_Time,1200
Schedule_Start_Time,2018-01-28T11:12:36.827

----------
Evnt_Time,Evnt_ID,Evnt_Name,Item_Name,Alias_Name,Group_ID,Num_Args,Arg1_Name,Arg1_Value,Arg2_Name,Arg2_Value,Arg3_Name,Arg3_Value,Arg4_Name,Arg4_Value,Arg5_Name,Arg5_Value
153.204,30,Touch Down Event,Bussey Mouse Operant Mode 3 x 1 x low,,3,4,Position,2,Image 1,0,CoordX,193,CoordY,219,,
153.344,31,Touch Up Event,Bussey Mouse Operant Mode 3 x 1 x low,,3,4,Position,2,Image 1,0,CoordX,193,CoordY,219,,
159.322,38,Input Transition On Event,FIRBeam #1,,3,0,,,,,,,,,,
159.916,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,,,,,,,
160.237,38,Input Transition On Event,BIRBeam #1,,3,0,,,,,,,,,,
160.655,38,Input Transition On Event,Tray #1,,3,0,,,,,,,,,,
160.655,1,Condition Event,Note Tray Entry,,3,0,,,,,,,,,,
160.655,4,Output Off Event,TrayLight #1,,3,0,,,,,,,,,,
160.655,16,Variable Event,Delay_Time,,3,1,Value,10,,,,,,,,
160.655,21,Group Change Event,Group Change,,3,1,New Group,4,,,,,,,,
160.709,39,Input Transition Off Event,Tray #1,,4,0,,,,,,,,,,
160.709,1,Condition Event,Start Delay,,4,0,,,,,,,,,,
160.709,29,Timer Event,Delay_Timer,,4,1,Value,0,,,,,,,,
160.709,16,Variable Event,_Trial_Counter,,4,1,Value,4,,,,,,,,
160.709,21,Group Change Event,Group Change,,4,1,New Group,5,,,,,,,,
161.211,39,Input Transition Off Event,BIRBeam #1,,5,0,,,,,,,,,,
162.512,38,Input Transition On Event,BIRBeam #1,,5,0,,,,,,,,,,
163.523,39,Input Transition Off Event,BIRBeam #1,,5,0,,,,,,,,,,
163.791,38,Input Transition On Event,FIRBeam #1,,5,0,,,,,,,,,,
170.709,1,Condition Event,Feed again,,5,0,,,,,,,,,,
170.709,7,Pulse Output Event,Feeder #1,,5,1,Duration,0.28,,,,,,,,
170.709,3,Output On Event,TrayLight #1,,5,0,,,,,,,,,,
170.709,1,Condition Event,Pulse Tone if required 2,,5,0,,,,,,,,,,
170.709,7,Pulse Output Event,Sound_On #1,,5,1,Duration,1,,,,,,,,
170.709,21,Group Change Event,Group Change,,5,1,New Group,3,,,,,,,,
